"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 10:08:25 CET 2021","Thu Aug 12 10:09:00 CET 2021","34685","","Test the login feature","","To login with  email and pw","","To login with  email and pw",""
"passed","Wed Sep 15 21:39:40 CET 2021","Wed Sep 15 21:40:01 CET 2021","21674","","Test the Vehicle feature","","To Add a new vehicle","","To Add a new vehicle",""
"passed","Tue Aug 31 00:38:10 CET 2021","Tue Aug 31 00:38:20 CET 2021","10134","","Test the Visitor feature","","To import visitor","","To import visitor",""
"passed","Wed Sep 15 21:08:26 CET 2021","Wed Sep 15 21:08:45 CET 2021","18827","","Test the Team feature","","To delete Team","","To delete Team",""
"broken","Mon Aug 30 16:02:25 CET 2021","Mon Aug 30 16:03:20 CET 2021","54671","","Test the Visitor feature","","To Add a new visitor","","To Add a new visitor",""
"passed","Fri Aug 13 15:16:56 CET 2021","Fri Aug 13 15:17:02 CET 2021","6020","","Test the Visitor feature","","To delete visitor","","To delete visitor",""
"passed","Fri Aug 13 14:44:56 CET 2021","Fri Aug 13 14:45:05 CET 2021","9340","","Test the Visitor feature","","To delete visitor","","To delete visitor",""
"passed","Mon Aug 30 15:07:51 CET 2021","Mon Aug 30 15:07:59 CET 2021","8134","","Test the Vehicle feature","","To update vehicle","","To update vehicle",""
"passed","Wed Sep 15 21:39:27 CET 2021","Wed Sep 15 21:39:40 CET 2021","12613","","Test the Vehicle feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Thu Aug 26 16:47:19 CET 2021","Thu Aug 26 16:47:28 CET 2021","9349","","Test the Visitor feature","","To import visitor","","To import visitor",""
"passed","Tue Aug 24 15:16:59 CET 2021","Tue Aug 24 15:17:04 CET 2021","4754","","Test the Vehicle feature","","To import vehicle","","To import vehicle",""
"passed","Mon Aug 30 15:08:20 CET 2021","Mon Aug 30 15:08:34 CET 2021","13310","","Test the Vehicle feature","","To export the list of vehicle","","To export the list of vehicle",""
"passed","Wed Sep 15 20:54:16 CET 2021","Wed Sep 15 20:54:30 CET 2021","13365","","Test the Workforce feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Tue Aug 31 00:37:58 CET 2021","Tue Aug 31 00:38:10 CET 2021","11727","","Test the Visitor feature","","To delete visitor","","To delete visitor",""
"passed","Thu Aug 26 16:47:10 CET 2021","Thu Aug 26 16:47:19 CET 2021","8319","","Test the Visitor feature","","To delete visitor","","To delete visitor",""
"passed","Thu Aug 26 16:46:45 CET 2021","Thu Aug 26 16:47:04 CET 2021","18902","","Test the Visitor feature","","To Add a new visitor","","To Add a new visitor",""
"passed","Wed Sep 15 21:08:45 CET 2021","Wed Sep 15 21:08:56 CET 2021","11518","","Test the Team feature","","To export the list of Team","","To export the list of Team",""
"passed","Wed Sep 15 21:40:39 CET 2021","Wed Sep 15 21:40:52 CET 2021","12364","","Test the Vehicle feature","","To import vehicle","","To import vehicle",""
"passed","Fri Aug 13 15:16:46 CET 2021","Fri Aug 13 15:16:56 CET 2021","9366","","Test the Visitor feature","","To update visitor","","To update visitor",""
"passed","Wed Sep 15 20:30:34 CET 2021","Wed Sep 15 20:30:47 CET 2021","12496","","Test the Visitor feature","","To import visitor","","To import visitor",""
"broken","Tue Aug 24 00:28:08 CET 2021","Tue Aug 24 00:29:55 CET 2021","106361","","Test the Workforce feature","","To update workforce","","To update workforce",""
"broken","Tue Aug 31 00:38:20 CET 2021","Tue Aug 31 00:38:24 CET 2021","4147","","Test the Visitor feature","","To export the list of visitors","","To export the list of visitors",""
"passed","Wed Sep 15 21:08:56 CET 2021","Wed Sep 15 21:10:07 CET 2021","70499","","Test the Team feature","","To add multiple Teams then delete them","","To add multiple Teams then delete them",""
"passed","Fri Aug 13 13:57:33 CET 2021","Fri Aug 13 13:57:50 CET 2021","17351","","Test the Visitor feature","","To import visitor","","To import visitor",""
"passed","Fri Aug 27 14:47:05 CET 2021","Fri Aug 27 14:47:20 CET 2021","15047","","Test the Team feature","","To update Team","","To update Team",""
"passed","Wed Sep 15 20:55:20 CET 2021","Wed Sep 15 20:55:33 CET 2021","13027","","Test the Workforce feature","","To export the list of workforce","","To export the list of workforce",""
"passed","Fri Aug 27 14:30:57 CET 2021","Fri Aug 27 14:31:08 CET 2021","11367","","Test the Visitor feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Wed Sep 15 21:07:36 CET 2021","Wed Sep 15 21:07:48 CET 2021","11850","","Test the Team feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Thu Aug 26 16:47:29 CET 2021","Thu Aug 26 16:47:29 CET 2021","113","","Test the logout feature","","To logout from account","","To logout from account",""
"passed","Wed Sep 15 21:08:11 CET 2021","Wed Sep 15 21:08:26 CET 2021","14991","","Test the Team feature","","To update Team","","To update Team",""
"passed","Wed Sep 15 21:40:01 CET 2021","Wed Sep 15 21:40:22 CET 2021","20998","","Test the Vehicle feature","","To update vehicle","","To update vehicle",""
"broken","Fri Aug 13 15:11:01 CET 2021","Fri Aug 13 15:11:01 CET 2021","290","","Test the logout feature","","To logout from account","","To logout from account",""
"passed","Mon Aug 30 15:07:59 CET 2021","Mon Aug 30 15:08:11 CET 2021","12556","","Test the Vehicle feature","","To delete vehicle","","To delete vehicle",""
"passed","Fri Aug 13 15:18:24 CET 2021","Fri Aug 13 15:18:36 CET 2021","11688","","Test the Visitor feature","","To import visitor","","To import visitor",""
"passed","Wed Sep 15 21:40:52 CET 2021","Wed Sep 15 21:41:05 CET 2021","13490","","Test the Vehicle feature","","To export the list of vehicle","","To export the list of vehicle",""
"passed","Wed Sep 15 21:07:48 CET 2021","Wed Sep 15 21:08:11 CET 2021","23130","","Test the Team feature","","To Add a new Team","","To Add a new Team",""
"passed","Wed Sep 15 21:41:05 CET 2021","Wed Sep 15 21:41:59 CET 2021","54225","","Test the Vehicle feature","","To add multiple vehicles then delete them","","To add multiple vehicles then delete them",""
"passed","Wed Sep 15 20:55:33 CET 2021","Wed Sep 15 20:56:26 CET 2021","52574","","Test the Workforce feature","","To add multiple workforces then delete them","","To add multiple workforces then delete them",""
"passed","Wed Sep 15 20:55:15 CET 2021","Wed Sep 15 20:55:20 CET 2021","4833","","Test the Workforce feature","","To import workforce","","To import workforce",""
"passed","Wed Sep 15 20:30:18 CET 2021","Wed Sep 15 20:30:30 CET 2021","12217","","Test the Visitor feature","","To update visitor","","To update visitor",""
"broken","Tue Aug 24 00:29:55 CET 2021","Tue Aug 24 00:29:58 CET 2021","3039","","Test the Workforce feature","","To delete workforce","","To delete workforce",""
"passed","Wed Sep 15 21:39:10 CET 2021","Wed Sep 15 21:39:27 CET 2021","17405","","Test the login feature","","To login with  email and pw","","To login with  email and pw",""
"broken","Tue Aug 24 15:17:04 CET 2021","Tue Aug 24 15:17:08 CET 2021","4078","","Test the Vehicle feature","","To export the list of vehicle","","To export the list of vehicle",""
"passed","Wed Sep 15 20:55:05 CET 2021","Wed Sep 15 20:55:15 CET 2021","9895","","Test the Workforce feature","","To delete workforce","","To delete workforce",""
"broken","Fri Aug 13 15:18:37 CET 2021","Fri Aug 13 15:18:38 CET 2021","1450","","Test the Visitor feature","","To export the list of visitors","","To export the list of visitors",""
"passed","Fri Aug 27 01:40:05 CET 2021","Fri Aug 27 01:40:19 CET 2021","13354","","Test the Workforce feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Fri Aug 27 03:06:37 CET 2021","Fri Aug 27 03:06:49 CET 2021","11338","","Test the Visitor feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Wed Sep 15 21:40:22 CET 2021","Wed Sep 15 21:40:39 CET 2021","16869","","Test the Vehicle feature","","To delete vehicle","","To delete vehicle",""
"passed","Fri Aug 27 02:04:52 CET 2021","Fri Aug 27 02:04:59 CET 2021","6228","","Test the Team feature","","To update Team","","To update Team",""
"passed","Wed Sep 15 20:30:47 CET 2021","Wed Sep 15 20:30:57 CET 2021","10500","","Test the Visitor feature","","To export the list of visitors","","To export the list of visitors",""
"broken","Fri Aug 13 12:18:20 CET 2021","Fri Aug 13 12:18:45 CET 2021","24750","","Test the Visitor feature","","To export the list of visitors","","To export the list of visitors",""
"passed","Wed Sep 15 20:30:30 CET 2021","Wed Sep 15 20:30:34 CET 2021","4501","","Test the Visitor feature","","To delete visitor","","To delete visitor",""
"passed","Wed Sep 15 20:54:48 CET 2021","Wed Sep 15 20:55:05 CET 2021","16976","","Test the Workforce feature","","To update workforce","","To update workforce",""
"passed","Mon Sep 06 10:29:55 CET 2021","Mon Sep 06 10:31:02 CET 2021","67121","","Test the Workforce feature","","To add multiple workforces then delete them","","To add multiple workforces then delete them",""
"passed","Fri Aug 13 12:17:18 CET 2021","Fri Aug 13 12:18:18 CET 2021","60091","","Test the login feature","","To login with  email and pw","","To login with  email and pw",""
"broken","Thu Aug 12 16:39:26 CET 2021","Thu Aug 12 16:39:26 CET 2021","78","","Test the logout feature","","2To logout from account","","2To logout from account",""
"passed","Tue Aug 24 15:16:50 CET 2021","Tue Aug 24 15:16:59 CET 2021","9664","","Test the Vehicle feature","","To delete vehicle","","To delete vehicle",""
"broken","Fri Aug 27 02:04:59 CET 2021","Fri Aug 27 02:05:03 CET 2021","4103","","Test the Team feature","","To delete Team","","To delete Team",""
"passed","Thu Aug 12 10:05:48 CET 2021","Thu Aug 12 10:06:08 CET 2021","20325","","Test the Visitor feature","","To Add a new visitor","","To Add a new visitor",""
"passed","Wed Sep 15 20:29:54 CET 2021","Wed Sep 15 20:30:18 CET 2021","24117","","Test the Visitor feature","","To Add a new visitor","","To Add a new visitor",""
"passed","Fri Aug 13 12:18:19 CET 2021","Fri Aug 13 12:18:20 CET 2021","1218","","Test the logout feature","","To logout from account","","To logout from account",""
"passed","Fri Aug 27 14:47:20 CET 2021","Fri Aug 27 14:47:39 CET 2021","18857","","Test the Team feature","","To delete Team","","To delete Team",""
"failed","Wed Sep 15 20:30:57 CET 2021","Wed Sep 15 20:31:31 CET 2021","33787","","Test the Visitor feature","","To add multiple visitors then delete them","","To add multiple visitors then delete them",""
"passed","Fri Aug 13 14:29:34 CET 2021","Fri Aug 13 14:30:56 CET 2021","81671","","Test the Visitor feature","","To update visitor","","To update visitor",""
"passed","Fri Aug 13 12:21:31 CET 2021","Fri Aug 13 12:21:34 CET 2021","3146","","Test the Visitor feature","","To export the list of visitors","","To export the list of visitors",""
"passed","Wed Sep 15 20:29:42 CET 2021","Wed Sep 15 20:29:54 CET 2021","11250","","Test the Visitor feature","","user click on submit button without entering data","","user click on submit button without entering data",""
"passed","Wed Sep 15 20:54:30 CET 2021","Wed Sep 15 20:54:48 CET 2021","18490","","Test the Workforce feature","","To Add a new workforce","","To Add a new workforce",""
"broken","Thu Sep 02 10:26:41 CET 2021","Thu Sep 02 10:26:57 CET 2021","15199","","Test the Vehicle feature","","To add multiple vehicles then delete them","","To add multiple vehicles then delete them",""
"passed","Tue Aug 24 15:16:45 CET 2021","Tue Aug 24 15:16:50 CET 2021","5168","","Test the Vehicle feature","","To update vehicle","","To update vehicle",""
"broken","Tue Aug 24 00:29:58 CET 2021","Tue Aug 24 00:30:01 CET 2021","3024","","Test the Workforce feature","","To import workforce","","To import workforce",""
